                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.58383,                0.38625,                0.84675,                 0.9879,                0.98103,                0.98642,                0.87789,                0.49513,                0.31773,                0.82095,             0.00024756,             0.00024756,             0.00024756
                     63,                0.58856,                0.39199,                0.85454,                0.99219,                0.98165,                0.98649,                0.87206,                0.49638,                0.31539,                0.82028,             0.00024137,             0.00024137,             0.00024137
                     64,                0.58036,                0.38375,                0.84907,                0.99356,                0.98139,                0.98656,                0.87161,                0.50172,                0.32108,                0.81962,             0.00023519,             0.00023519,             0.00023519
                     65,                0.57054,                0.38656,                0.85035,                0.99167,                0.98359,                0.98581,                0.86535,                0.52972,                0.32105,                0.82776,               0.000229,               0.000229,               0.000229
                     66,                0.57116,                0.38468,                0.84519,                0.99056,                0.97086,                0.98533,                0.87812,                 0.4839,                  0.308,                 0.8177,             0.00022281,             0.00022281,             0.00022281
                     67,                0.55581,                0.37167,                0.84496,                0.98952,                0.98274,                0.98571,                0.87942,                0.48628,                0.31216,                0.81849,             0.00021662,             0.00021662,             0.00021662
                     68,                0.56412,                0.37896,                0.84834,                0.99004,                0.98294,                 0.9861,                0.88081,                0.47494,                0.30695,                0.81635,             0.00021044,             0.00021044,             0.00021044
                     69,                0.55975,                0.37766,                0.84805,                0.99227,                0.98277,                0.98555,                0.87328,                0.48622,                0.30714,                0.81807,             0.00020425,             0.00020425,             0.00020425
                     70,                0.56294,                0.37278,                0.84237,                0.99226,                  0.983,                0.98608,                0.87848,                0.48638,                0.30526,                0.81717,             0.00019806,             0.00019806,             0.00019806
                     71,                0.54454,                0.36295,                0.83867,                0.99353,                0.98239,                0.98649,                0.88376,                0.46411,                0.29985,                0.81413,             0.00019188,             0.00019188,             0.00019188
