                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.67018,                0.42355,                0.87889,                0.99387,                0.97268,                0.98626,                0.84473,                0.57897,                0.35554,                0.84817,               0.008911,               0.008911,               0.008911
                     68,                0.68554,                0.43316,                0.88654,                0.97841,                0.97965,                0.98504,                 0.8513,                0.56642,                0.35666,                0.84489,              0.0088945,              0.0088945,              0.0088945
                     69,                0.67553,                0.43453,                0.88195,                0.99079,                0.97742,                0.98584,                0.84073,                0.58503,                0.35223,                 0.8488,               0.008878,               0.008878,               0.008878
                     70,                0.67985,                0.42985,                0.87896,                0.98904,                0.98335,                0.98662,                0.84425,                0.56738,                0.34563,                0.84602,              0.0088615,              0.0088615,              0.0088615
                     71,                0.67807,                0.42575,                0.87956,                 0.9917,                0.96557,                0.98487,                0.84963,                0.55363,                0.34431,                0.84283,               0.008845,               0.008845,               0.008845
                     72,                0.65786,                0.41747,                0.87542,                0.98901,                0.97952,                0.98688,                0.84033,                0.61212,                0.35401,                0.85554,              0.0088285,              0.0088285,              0.0088285
                     73,                0.67313,                0.41841,                0.88073,                0.99126,                 0.9785,                0.98588,                0.84818,                0.57479,                0.34867,                 0.8471,               0.008812,               0.008812,               0.008812
                     74,                0.66884,                0.42059,                0.88032,                0.99107,                0.97994,                0.98625,                0.84752,                0.56598,                0.34226,                0.84164,              0.0087955,              0.0087955,              0.0087955
                     75,                0.65826,                  0.415,                0.87672,                0.99351,                0.97254,                0.98549,                0.85376,                0.54838,                0.34737,                  0.838,               0.008779,               0.008779,               0.008779
                     76,                0.66066,                0.42065,                0.87627,                0.99245,                0.96944,                0.98544,                0.85311,                 0.5535,                0.34398,                0.83717,              0.0087625,              0.0087625,              0.0087625
                     77,                0.65363,                0.41992,                0.87271,                0.98791,                0.95757,                0.98302,                0.84875,                  0.548,                0.34763,                0.84043,               0.008746,               0.008746,               0.008746
                     78,                0.65994,                0.41545,                 0.8803,                0.99674,                0.97928,                 0.9849,                 0.8511,                0.56444,                0.33765,                0.84873,              0.0087295,              0.0087295,              0.0087295
                     79,                0.64985,                0.41363,                0.87638,                0.99166,                0.97232,                0.98239,                0.83721,                0.57748,                0.33988,                0.84469,               0.008713,               0.008713,               0.008713
                     80,                0.64998,                0.41552,                0.87161,                0.98924,                0.97829,                0.98137,                0.85307,                0.54942,                0.33863,                0.83955,              0.0086965,              0.0086965,              0.0086965
                     81,                0.65219,                0.41397,                0.87412,                0.98195,                0.97196,                 0.9824,                0.84915,                0.56981,                0.34265,                0.84606,                0.00868,                0.00868,                0.00868
                     82,                0.65776,                0.41615,                0.87403,                0.97545,                 0.9673,                0.97913,                0.84865,                0.56208,                0.34397,                0.84159,              0.0086635,              0.0086635,              0.0086635
